Starting to train the tabular agent...
10000 episodes.
Episode: 5700 | Score: 22.0 | Avg100: 65.3 | Epsilon: 0.090 | LR: 0.1504 | States: 451
Episode: 5800 | Score: 140.0 | Avg100: 76.7 | Epsilon: 0.088 | LR: 0.1497 | States: 452
Episode: 5900 | Score: 45.0 | Avg100: 76.1 | Epsilon: 0.085 | LR: 0.1489 | States: 453
Episode: 6000 | Score: 62.0 | Avg100: 80.3 | Epsilon: 0.083 | LR: 0.1482 | States: 453
Episode: 6100 | Score: 21.0 | Avg100: 76.2 | Epsilon: 0.080 | LR: 0.1474 | States: 458
Episode: 6200 | Score: 89.0 | Avg100: 82.5 | Epsilon: 0.078 | LR: 0.1467 | States: 458
Episode: 6300 | Score: 71.0 | Avg100: 83.6 | Epsilon: 0.076 | LR: 0.1460 | States: 460
Episode: 6400 | Score: 91.0 | Avg100: 81.0 | Epsilon: 0.073 | LR: 0.1452 | States: 463
Episode: 6500 | Score: 86.0 | Avg100: 88.2 | Epsilon: 0.071 | LR: 0.1445 | States: 467
Episode: 6600 | Score: 124.0 | Avg100: 92.2 | Epsilon: 0.069 | LR: 0.1438 | States: 469
Episode: 6700 | Score: 81.0 | Avg100: 85.2 | Epsilon: 0.067 | LR: 0.1431 | States: 470
Episode: 6800 | Score: 43.0 | Avg100: 77.8 | Epsilon: 0.065 | LR: 0.1424 | States: 471
Episode: 6900 | Score: 21.0 | Avg100: 93.1 | Epsilon: 0.063 | LR: 0.1416 | States: 474
Episode: 7000 | Score: 211.0 | Avg100: 93.4 | Epsilon: 0.061 | LR: 0.1409 | States: 475
Episode: 7100 | Score: 106.0 | Avg100: 98.6 | Epsilon: 0.059 | LR: 0.1402 | States: 475
Episode: 7200 | Score: 133.0 | Avg100: 92.9 | Epsilon: 0.058 | LR: 0.1395 | States: 477
Episode: 7300 | Score: 83.0 | Avg100: 98.4 | Epsilon: 0.056 | LR: 0.1388 | States: 481
Episode: 7400 | Score: 121.0 | Avg100: 110.9 | Epsilon: 0.054 | LR: 0.1381 | States: 482
Episode: 7500 | Score: 230.0 | Avg100: 101.8 | Epsilon: 0.053 | LR: 0.1375 | States: 484
Episode: 7600 | Score: 160.0 | Avg100: 94.6 | Epsilon: 0.051 | LR: 0.1368 | States: 485
Episode: 7700 | Score: 48.0 | Avg100: 100.0 | Epsilon: 0.050 | LR: 0.1361 | States: 485
Episode: 7800 | Score: 110.0 | Avg100: 107.8 | Epsilon: 0.048 | LR: 0.1354 | States: 486
